Real_Goal,Time,Cost,Prob,Results,rl
0,128865950,79/584/,0.9981897889737974/0.0018102110262026474/,0/,no
1,148936775,80/80/,0.5/0.5/,0/1/,no
0,115942252,50/410/,0.9991409495864225/8.590504135774343E-4/,0/,no
1,118691082,109/2941/,0.9999999999934099/6.5900871332462946E-12/,0/,no
0,119004525,82/4996/,1.0/1.9394281095733775E-26/,0/,no
1,115292381,54/83/,0.6288467945907081/0.37115320540929186/,0/,no
0,124466327,93/2202/,0.9999999998196587/1.803412524495064E-10/,0/,no
1,112464754,50/109/,0.7607621919902593/0.23923780800974062/,0/,no
0,121196403,109/38335/,1.0/1.1987245697408731E-151/,0/,no
1,118200477,54/54/,0.5/0.5/,0/1/,no
0,113739223,50/7304/,1.0/1.6904278253355395E-62/,0/,no
1,115483767,292/68/,0.03745729998859933/0.9625427000114006/,1/,no
0,117307490,103/60986/,1.0/5.730124023143533E-255/,0/,no
1,107754398,50/246/,0.9790231790549648/0.020976820945035182/,0/,no
0,117635701,434/6669/,0.9999994041839921/5.958160078820966E-7/,0/,no
1,110966953,246/93/,0.1641512283614262/0.8358487716385737/,1/,no
0,162405823,50/3010/,1.0/6.221411010397912E-26/,0/,no
1,117407368,50/50/,0.5/0.5/,0/1/,no
0,125517653,79/14383/,1.0/2.2291876877662647E-78/,0/,no
1,115424535,914/109/,6.629274732852914E-4/0.9993370725267147/,1/,no
0,129370971,93/3909/,1.0/2.3414888624482913E-18/,0/,no
1,117944149,69/128/,0.699066621878819/0.300933378121181/,0/,no
0,132540955,248/1465/,0.992516553185758/0.0074834468142420075/,0/,no
1,117775519,79/68/,0.46022912271577787/0.539770877284222/,0/1/,no
0,132576445,50/28594/,1.0/8.537670374738233E-244/,0/,no
1,130023321,914/109/,6.629274732852914E-4/0.9993370725267147/,1/,no
0,140766988,387/12652/,0.9999999999999813/1.86893090654352E-14/,0/,no
1,121809821,50/50/,0.5/0.5/,0/1/,no
0,138199291,50/1254/,0.9999999999441216/5.587840432629997E-11/,0/,no
1,124623472,50/123/,0.8071150847204498/0.1928849152795503/,0/,no
0,120818455,93/198/,0.7534357759182149/0.24656422408178513/,0/,no
1,161658429,50/835/,0.9999997933330071/2.0666699282066704E-7/,0/,no
0,136144645,79/483/,0.9936314844931845/0.0063685155068155435/,0/,no
1,141247040,198/50/,0.0520567195841066/0.9479432804158934/,1/,no
0,144811823,109/1619/,0.9999989077533319/1.092246668200084E-6/,0/,no
1,138195483,50/109/,0.7607621919902593/0.23923780800974062/,0/,no
0,150458446,792/2718/,0.918993643322837/0.08100635667716312/,0/,no
1,138122981,50/50/,0.5/0.5/,0/1/,no
0,122384128,109/11257/,1.0/9.687870501628431E-45/,0/,no
1,135833254,50/50/,0.5/0.5/,0/1/,no
0,159367913,50/123822/,1.0/0.0/,0/,no
1,166782681,292/68/,0.03745729998859933/0.9625427000114006/,1/,no
0,147916565,142/742/,0.9851647706859248/0.01483522931407521/,0/,no
1,138855592,50/50/,0.5/0.5/,0/1/,no
0,145832456,50/2170/,1.0/8.850635956295407E-19/,0/,no
1,115268602,1173/188/,0.005423151786609726/0.9945768482133903/,1/,no
0,131912183,50/2165/,1.0/9.76230491231732E-19/,0/,no
1,114838407,109/1059/,0.9998225002135068/1.774997864931392E-4/,0/,no
0,134922690,54/1677/,0.9999999999998471/1.5288492065768497E-13/,0/,no
1,122311752,660/314/,0.2500374250401837/0.7499625749598163/,1/,no
0,111645685,50/1467/,0.9999999999991421/8.578786615820239E-13/,0/,no
1,111415091,914/109/,6.629274732852914E-4/0.9993370725267147/,1/,no
0,122047793,79/4882/,1.0/8.434222285341538E-27/,0/,no
1,113821380,50/50/,0.5/0.5/,0/1/,no
