Real_Goal,Time,Cost,Prob,Results,rl
0,111180740,79/584/,0.9981897889737974/0.0018102110262026474/,0/,no
1,119910741,80/80/,0.5/0.5/,0/1/,no
0,142805123,50/410/,0.9991409495864225/8.590504135774343E-4/,0/,no
1,114124744,109/2941/,0.9999999999934099/6.5900871332462946E-12/,0/,no
0,115696734,82/4996/,1.0/1.9394281095733775E-26/,0/,no
1,138659458,54/83/,0.6288467945907081/0.37115320540929186/,0/,no
0,115671766,93/2202/,0.9999999998196587/1.803412524495064E-10/,0/,no
1,112802374,50/109/,0.7607621919902593/0.23923780800974062/,0/,no
0,123825617,109/38335/,1.0/1.1987245697408731E-151/,0/,no
1,110057710,54/54/,0.5/0.5/,0/1/,no
0,117047392,50/7304/,1.0/1.6904278253355395E-62/,0/,no
1,110763680,292/68/,0.03745729998859933/0.9625427000114006/,1/,no
0,121820102,103/60986/,1.0/5.730124023143533E-255/,0/,no
1,107778271,50/246/,0.9790231790549648/0.020976820945035182/,0/,no
0,113392726,434/6669/,0.9999994041839921/5.958160078820966E-7/,0/,no
1,111265718,246/93/,0.1641512283614262/0.8358487716385737/,1/,no
0,119434084,50/3010/,1.0/6.221411010397912E-26/,0/,no
1,132995726,50/50/,0.5/0.5/,0/1/,no
0,129240877,79/14383/,1.0/2.2291876877662647E-78/,0/,yes
1,123589164,1098/109/,1.2452131897380155E-4/0.9998754786810262/,1/,yes
0,123057537,795/1047/,0.5784912572657802/0.42150874273421984/,0/,no
1,107842711,110/51/,0.24331035409118082/0.7566896459088192/,1/,no
0,118182660,93/2683/,0.9999999999989191/1.0809384797799375E-12/,0/,no
1,115133001,79/68/,0.46022912271577787/0.539770877284222/,0/1/,no
0,122246695,109/25139/,1.0/1.507525644808319E-99/,0/,no
1,137951766,1098/50/,1.1903486267970177E-9/0.9999999988096514/,1/,no
0,123856299,771/13047/,0.9999998758225851/1.2417741493299915E-7/,0/,no
1,111020274,79/68/,0.46022912271577787/0.539770877284222/,0/1/,no
0,122653687,138/1401/,0.9998868101580335/1.1318984196646514E-4/,0/,no
1,109072219,50/50/,0.5/0.5/,0/1/,no
0,108469696,50/691/,0.999996520531238/3.4794687619070422E-6/,0/,no
1,122082779,109/175/,0.6456563062257954/0.35434369377420455/,0/,no
0,127099188,109/304/,0.8547965062803291/0.14520349371967095/,0/,no
1,108272003,198/50/,0.0520567195841066/0.9479432804158934/,1/,no
0,114735635,138/1009/,0.9981041437698416/0.0018958562301583728/,0/,no
1,111383369,109/68/,0.3556710963466992/0.6443289036533009/,1/,no
0,119266198,3325/2718/,0.44441968203114207/0.555580317968858/,1/,no
1,110550939,1098/111/,1.4883848257288125E-4/0.9998511615174271/,1/,no
0,114125273,138/1232/,0.9996183037284447/3.816962715553069E-4/,0/,yes
1,109717033,50/68/,0.5873306243819909/0.41266937561800915/,0/,yes
0,119900473,268/5603/,0.9999999975635256/2.4364744085069216E-9/,0/,no
1,110615358,292/79/,0.06522274580289424/0.9347772541971058/,1/,no
0,134649640,122/1056/,0.9994965365927185/5.034634072814741E-4/,0/,no
1,128192183,914/50/,4.390768327629132E-8/0.9999999560923167/,1/,no
0,114273540,50/1798/,0.9999999999999987/1.3024753782204269E-15/,0/,no
1,116099864,1442/188/,0.0013119595026809586/0.998688040497319/,1/,no
0,125114362,109/2795/,0.9999999999751504/2.484954140193593E-11/,0/,no
1,113611295,50/329/,0.9958088836935526/0.004191116306447386/,0/,no
