Real_Goal,Time,Cost,Prob,Results,rl
0,218584418,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,212729497,55/51/,0.48077870778939186/0.5192212922106081/,0/1/,no
0,193500602,54/1366/,0.9999999999563381/4.3661890965050676E-11/,0/,no
1,183235374,83/83/,0.5/0.5/,0/1/,no
0,171655099,78/760/,0.9998218864913346/1.7811350866543958E-4/,0/,no
1,143633666,83/83/,0.5/0.5/,0/1/,no
0,151051354,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,113925271,83/83/,0.5/0.5/,0/1/,no
0,105162609,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,124951820,65/64/,0.49615392201307323/0.5038460779869267/,0/1/,no
0,132403493,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,150649528,83/83/,0.5/0.5/,0/1/,no
0,163689831,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,168149681,64/1366/,0.9999999980013008/1.9986992703949295E-9/,0/,no
0,214338502,544574/532956/,0.49455043279899974/0.5054495672010002/,0/1/,no
1,118201070,52/50/,0.4901973346679594/0.5098026653320405/,0/1/,no
0,161229876,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,141645589,51/51/,0.5/0.5/,0/1/,no
0,187202172,234/13635/,1.0/1.7144552813426006E-25/,0/,no
1,137625458,83/83/,0.5/0.5/,0/1/,yes
0,134488303,83/50/,0.34365263045781763/0.6563473695421823/,1/,no
1,119564386,60/50/,0.4511368443987638/0.5488631556012363/,0/1/,no
0,187796980,82163/102285/,0.5609209307193386/0.43907906928066137/,0/,no
1,170874201,1676/675/,0.18531125964422787/0.8146887403557721/,1/,no
0,115192635,64/54/,0.45467026111147996/0.5453297388885201/,0/1/,no
1,151026213,18680/24486/,0.5770798041001793/0.42292019589982055/,0/,no
0,113953153,54/50/,0.48040220212170437/0.5195977978782956/,0/1/,no
1,100981138,289/51/,0.010181763720786574/0.9898182362792134/,1/,no
0,135034242,18335/23675/,0.572297320302118/0.42770267969788206/,0/,no
1,125317786,64/858/,0.9999950463682773/4.953631722769965E-6/,0/,no
0,183832021,6642/12926/,0.7203016036314249/0.279698396368575/,0/,no
1,121697529,60/50/,0.4511368443987638/0.5488631556012363/,0/1/,no
0,124819067,54/50/,0.48040220212170437/0.5195977978782956/,0/1/,no
1,141705267,35939/44554/,0.5596409656457073/0.4403590343542928/,0/,no
0,93839689,52/52/,0.5/0.5/,0/1/,no
1,109408147,54/50/,0.48040220212170437/0.5195977978782956/,0/1/,no
