Real_Goal,Time,Cost,Prob,Results,rl
0,192960053,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,153206300,55/51/,0.48077870778939186/0.5192212922106081/,0/1/,no
0,207440453,54/1366/,0.9999999999563381/4.3661890965050676E-11/,0/,no
1,142698749,83/83/,0.5/0.5/,0/1/,no
0,142453637,78/760/,0.9998218864913346/1.7811350866543958E-4/,0/,no
1,157223962,83/83/,0.5/0.5/,0/1/,no
0,162527410,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,145120244,83/83/,0.5/0.5/,0/1/,no
0,129272340,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,113057701,65/64/,0.49615392201307323/0.5038460779869267/,0/1/,no
0,136816105,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,145673061,83/83/,0.5/0.5/,0/1/,no
0,107253198,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,123107813,64/1366/,0.9999999980013008/1.9986992703949295E-9/,0/,no
0,198234030,544574/532956/,0.49455043279899974/0.5054495672010002/,0/1/,no
1,143177093,52/50/,0.4901973346679594/0.5098026653320405/,0/1/,no
0,137197938,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,111765703,51/51/,0.5/0.5/,0/1/,no
0,134237503,234/13635/,1.0/1.7144552813426006E-25/,0/,no
1,139176240,83/83/,0.5/0.5/,0/1/,no
0,246526490,51/50/,0.4950981962633707/0.5049018037366292/,0/1/,no
1,134309074,83/83/,0.5/0.5/,0/1/,no
0,204472199,67997/582228/,0.9994806655564205/5.193344435795894E-4/,0/,no
1,190112364,1527/515/,0.12333288024312115/0.8766671197568788/,1/,no
0,168461377,64/1366/,0.9999999980013008/1.9986992703949295E-9/,0/,no
1,272363388,39186/51821/,0.5799159469305215/0.4200840530694785/,0/,no
0,170293521,54/289/,0.9862480501355552/0.013751949864444828/,0/,no
1,181294220,55/50/,0.4755098089426773/0.5244901910573226/,0/1/,no
0,175439547,19522/170745/,0.9995676702224434/4.323297775565034E-4/,0/,no
1,178719227,319/20406/,1.0/5.476726693738886E-28/,0/,no
0,159512757,1063/3377/,0.8979647095258624/0.10203529047413766/,0/,no
1,145830903,83/83/,0.5/0.5/,0/1/,no
0,153944648,54/289/,0.9862480501355552/0.013751949864444828/,0/,no
1,219788143,27861/264052/,0.9997918770101126/2.0812298988732167E-4/,0/,no
0,145587661,50/52/,0.5098026653320405/0.4901973346679594/,0/1/,no
1,163572692,54/289/,0.9862480501355552/0.013751949864444828/,0/,no
0,295678236,301/2413/,0.9990829008831246/9.170991168754071E-4/,0/,no
1,154975811,54/289/,0.9862480501355552/0.013751949864444828/,0/,no
0,159043598,50/50/,0.5/0.5/,0/1/,no
