Real_Goal,Time,Cost,Prob,Results
0,172794123,50/289/,0.9908632746184048/0.009136725381595073/,0/
1,121632499,55/51/,0.48077870778939186/0.5192212922106081/,0/1/
0,142521961,54/1366/,0.9999999999563381/4.3661890965050676E-11/,0/
1,173760419,83/83/,0.5/0.5/,0/1/
0,139735728,78/760/,0.9998218864913346/1.7811350866543958E-4/,0/
1,107688644,83/83/,0.5/0.5/,0/1/
0,133402332,50/289/,0.9908632746184048/0.009136725381595073/,0/
1,128881419,83/83/,0.5/0.5/,0/1/
0,140597289,50/289/,0.9908632746184048/0.009136725381595073/,0/
1,119467749,65/64/,0.49615392201307323/0.5038460779869267/,0/1/
0,119541361,50/289/,0.9908632746184048/0.009136725381595073/,0/
1,138395009,83/83/,0.5/0.5/,0/1/
0,148614008,50/289/,0.9908632746184048/0.009136725381595073/,0/
1,122104928,64/1366/,0.9999999980013008/1.9986992703949295E-9/,0/
0,180511856,544574/532956/,0.49455043279899974/0.5054495672010002/,0/1/
1,150046610,52/50/,0.4901973346679594/0.5098026653320405/,0/1/
0,157987289,50/289/,0.9908632746184048/0.009136725381595073/,0/
1,176050129,51/51/,0.5/0.5/,0/1/
0,132597032,234/13635/,1.0/1.7144552813426006E-25/,0/
1,114964239,83/83/,0.5/0.5/,0/1/
0,152433478,51/50/,0.4950981962633707/0.5049018037366292/,0/1/
1,159119565,83/83/,0.5/0.5/,0/1/
0,257466143,67997/582228/,0.9994806655564205/5.193344435795894E-4/,0/
1,178107905,1527/515/,0.12333288024312115/0.8766671197568788/,1/
0,117642982,64/1366/,0.9999999980013008/1.9986992703949295E-9/,0/
1,157271811,39186/51821/,0.5799159469305215/0.4200840530694785/,0/
0,161735078,54/289/,0.9862480501355552/0.013751949864444828/,0/
1,154794856,55/50/,0.4755098089426773/0.5244901910573226/,0/1/
0,221985568,19522/170745/,0.9995676702224434/4.323297775565034E-4/,0/
1,278633414,319/20406/,1.0/5.476726693738886E-28/,0/
0,195323963,1063/3377/,0.8979647095258624/0.10203529047413766/,0/
1,148608392,83/83/,0.5/0.5/,0/1/
0,227625495,54/289/,0.9862480501355552/0.013751949864444828/,0/
1,210483240,27861/264052/,0.9997918770101126/2.0812298988732167E-4/,0/
0,159240080,50/52/,0.5098026653320405/0.4901973346679594/,0/1/
1,135455656,54/289/,0.9862480501355552/0.013751949864444828/,0/
0,147323957,301/2413/,0.9990829008831246/9.170991168754071E-4/,0/
1,145403852,54/289/,0.9862480501355552/0.013751949864444828/,0/
0,138268622,50/50/,0.5/0.5/,0/1/
1,105719975,54/289/,0.9862480501355552/0.013751949864444828/,0/
0,190918731,52/52/,0.5/0.5/,0/1/
1,113807865,52/52/,0.5/0.5/,0/1/
0,156140026,54/289/,0.9862480501355552/0.013751949864444828/,0/
1,171003151,301/2413/,0.9990829008831246/9.170991168754071E-4/,0/
0,117851467,54/289/,0.9862480501355552/0.013751949864444828/,0/
1,107548590,52/52/,0.5/0.5/,0/1/
0,189576223,54/2664/,1.0/2.458967381816046E-21/,0/
1,153373428,54/289/,0.9862480501355552/0.013751949864444828/,0/
0,147166827,52/52/,0.5/0.5/,0/1/
1,110088978,83/83/,0.5/0.5/,0/1/
0,156590008,511/4119/,0.9991306326071938/8.69367392806217E-4/,0/
1,152094283,54/289/,0.9862480501355552/0.013751949864444828/,0/
0,262493572,2093008966/2147483647/,0.5065063751466289/0.4934936248533712/,0/1/
1,155921680,54/289/,0.9862480501355552/0.013751949864444828/,0/
0,139284818,788/940/,0.5480138252566708/0.45198617474332914/,0/1/
1,134698066,54/289/,0.9862480501355552/0.013751949864444828/,0/
0,198980035,83/83/,0.5/0.5/,0/1/
1,148229330,83/83/,0.5/0.5/,0/1/
0,139785303,83/83/,0.5/0.5/,0/1/
1,119130946,65/55/,0.45547539583056906/0.5445246041694309/,0/1/
0,166539776,4165/12664/,0.8849420668687994/0.1150579331312006/,0/
1,154658894,112/25963/,1.0/4.430878161415468E-100/,0/
0,199909542,50/2363/,1.0/2.011258576160985E-20/,0/
1,135013818,54/289/,0.9862480501355552/0.013751949864444828/,0/
0,98919953,83/83/,0.5/0.5/,0/1/
1,141851372,54/289/,0.9862480501355552/0.013751949864444828/,0/
0,198825014,50/2363/,1.0/2.011258576160985E-20/,0/
1,152517983,54/289/,0.9862480501355552/0.013751949864444828/,0/
0,159363871,1259/1262/,0.5005952378140411/0.4994047621859589/,0/1/
1,114562344,54/289/,0.9862480501355552/0.013751949864444828/,0/
0,189149167,1013/6712/,0.9963895849112758/0.003610415088724195/,0/
1,155149031,83/83/,0.5/0.5/,0/1/
0,164331848,83/83/,0.5/0.5/,0/1/
1,127203181,83/83/,0.5/0.5/,0/1/
0,251252062,69579/97535/,0.5991157585003927/0.40088424149960733/,0/
1,146754207,2773/7305/,0.8366815954565743/0.16331840454342578/,0/
0,106698980,52/52/,0.5/0.5/,0/1/
