Real_Goal,Time,Cost,Prob,Results,rl
0,142367997,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,134555994,55/51/,0.48077870778939186/0.5192212922106081/,0/1/,no
0,118601788,54/1366/,0.9999999999563381/4.3661890965050676E-11/,0/,no
1,117685551,83/83/,0.5/0.5/,0/1/,no
0,125000146,78/760/,0.9998218864913346/1.7811350866543958E-4/,0/,no
1,119519388,83/83/,0.5/0.5/,0/1/,no
0,107168255,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,110251903,83/83/,0.5/0.5/,0/1/,no
0,113557460,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,125306210,65/64/,0.49615392201307323/0.5038460779869267/,0/1/,no
0,148179903,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,140120993,83/83/,0.5/0.5/,0/1/,no
0,150259813,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,201754197,64/1366/,0.9999999980013008/1.9986992703949295E-9/,0/,no
0,187877994,544574/532956/,0.49455043279899974/0.5054495672010002/,0/1/,no
1,120640652,52/50/,0.4901973346679594/0.5098026653320405/,0/1/,no
0,112072123,50/289/,0.9908632746184048/0.009136725381595073/,0/,no
1,128020376,51/51/,0.5/0.5/,0/1/,no
0,144544094,234/13635/,1.0/1.7144552813426006E-25/,0/,yes
1,132890487,60/83/,0.5931612044284076/0.4068387955715924/,0/,yes
0,109690551,83/50/,0.34365263045781763/0.6563473695421823/,1/,no
1,109170418,60/50/,0.4511368443987638/0.5488631556012363/,0/1/,no
0,178208135,82163/102285/,0.5609209307193386/0.43907906928066137/,0/,no
1,133293955,1676/675/,0.18531125964422787/0.8146887403557721/,1/,no
0,104026741,64/54/,0.45467026111147996/0.5453297388885201/,0/1/,no
1,164152910,18680/24486/,0.5770798041001793/0.42292019589982055/,0/,no
0,109693078,54/50/,0.48040220212170437/0.5195977978782956/,0/1/,no
1,147833583,289/51/,0.010181763720786574/0.9898182362792134/,1/,no
0,154809937,18335/23675/,0.572297320302118/0.42770267969788206/,0/,no
1,137248344,64/858/,0.9999950463682773/4.953631722769965E-6/,0/,no
0,216748520,6642/12926/,0.7203016036314249/0.279698396368575/,0/,no
1,138078556,60/50/,0.4511368443987638/0.5488631556012363/,0/1/,no
0,138850602,54/50/,0.48040220212170437/0.5195977978782956/,0/1/,no
