Real_Goal,Time,Cost,Prob,Results,rl
0,129758111,3989/157/,2.930788401790793E-11/0.9999999999706921/,1/,no
1,122828774,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,145807141,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,126267153,75/50/,0.3798473776772155/0.6201526223227845/,1/,no
0,100113700,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,147654601,139/50/,0.14866654584238834/0.8513334541576117/,1/,no
0,156020807,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,158921700,227/50/,0.030160770201267024/0.9698392297987329/,1/,no
0,117731344,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,130149114,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,286688018,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,143571308,139/50/,0.14866654584238834/0.8513334541576117/,1/,no
0,101463957,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,131155714,75/50/,0.3798473776772155/0.6201526223227845/,1/,no
0,134260900,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,124000104,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,119658275,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,132044006,60/50/,0.4511368443987638/0.5488631556012363/,0/1/,no
0,108086672,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,114843274,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,137435847,75/139/,0.6989084234110173/0.30109157658898267/,0/,no
1,112585468,75/50/,0.3798473776772155/0.6201526223227845/,1/,no
0,147037422,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,202025680,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,136000151,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,121800536,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,141590154,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,137505876,3989/60/,1.0645439997899882E-28/1.0/,1/,no
0,147585925,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,99055752,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,105159967,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,180626529,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,146058556,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,134175394,139/50/,0.14866654584238834/0.8513334541576117/,1/,no
0,140872867,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,98579436,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,101000386,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,113956866,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,120090637,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,151463397,60/50/,0.4511368443987638/0.5488631556012363/,0/1/,yes
0,164744686,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,108736368,54/50/,0.48040220212170437/0.5195977978782956/,0/1/,no
0,105191942,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,117991713,168/157/,0.4826019634686569/0.5173980365313431/,0/1/,no
0,125561209,64/227/,0.9246793230131946/0.07532067698680547/,0/,no
1,124545659,54/50/,0.48040220212170437/0.5195977978782956/,0/1/,no
0,116876131,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,115794699,50/50/,0.5/0.5/,0/1/,no
0,98470090,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,129215899,54/50/,0.48040220212170437/0.5195977978782956/,0/1/,no
0,120389505,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,141835349,54/95/,0.6781874617803009/0.32181253821969913/,0/,no
0,121730777,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,127617661,54/50/,0.48040220212170437/0.5195977978782956/,0/1/,no
0,112504284,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,98797367,54/50/,0.48040220212170437/0.5195977978782956/,0/1/,no
0,108478470,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,128731194,54/50/,0.48040220212170437/0.5195977978782956/,0/1/,no
0,119375243,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,111377431,54/50/,0.48040220212170437/0.5195977978782956/,0/1/,yes
0,140825992,10317/157/,1.183628991376441E-28/1.0/,1/,no
1,112692313,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,104843466,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,126738102,2474/50/,2.281595977385861E-21/1.0/,1/,no
0,120554684,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,123237951,40251/2111/,1.436153858054694E-8/0.9999999856384615/,1/,no
0,109763955,54/75/,0.594311551326148/0.40568844867385206/,0/,no
1,100142446,60/50/,0.4511368443987638/0.5488631556012363/,0/1/,no
0,146040209,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,118308944,2474/50/,2.281595977385861E-21/1.0/,1/,no
0,134166313,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,191624348,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,106066826,54/75/,0.594311551326148/0.40568844867385206/,0/,no
1,153002739,2474/50/,2.281595977385861E-21/1.0/,1/,no
0,126107386,82/2474/,0.9999999999996952/3.0475229115423913E-13/,0/,no
1,151150233,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,125805761,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,114500656,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,96694061,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,112709205,2474/50/,2.281595977385861E-21/1.0/,1/,no
0,109857640,54/75/,0.594311551326148/0.40568844867385206/,0/,no
1,121937158,60/50/,0.4511368443987638/0.5488631556012363/,0/1/,no
0,286852145,54/75/,0.594311551326148/0.40568844867385206/,0/,no
1,102143288,60/50/,0.4511368443987638/0.5488631556012363/,0/1/,no
0,160358492,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,157106816,2474/50/,2.281595977385861E-21/1.0/,1/,no
0,165369583,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,157595927,139/50/,0.14866654584238834/0.8513334541576117/,1/,no
0,177911421,4403/2147483647/,1.0/0.0/,0/,no
1,134226668,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,144525036,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,132704081,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,178892566,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,150274712,2474/50/,2.281595977385861E-21/1.0/,1/,no
0,151816706,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,133254029,2474/50/,2.281595977385861E-21/1.0/,1/,no
0,114201436,64/227/,0.9246793230131946/0.07532067698680547/,0/,no
1,131260066,139/50/,0.14866654584238834/0.8513334541576117/,1/,no
0,125293411,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,125399886,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,139908343,40251/79/,8.299002822321483E-219/1.0/,1/,no
1,153386377,525508/30484/,8.867558754014357E-8/0.9999999113244125/,1/,no
0,115455642,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,106468723,40251/2111/,1.436153858054694E-8/0.9999999856384615/,1/,no
0,111169618,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,122998696,148646/2884/,1.1420009288095663E-22/1.0/,1/,no
0,124497949,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,127616849,139/50/,0.14866654584238834/0.8513334541576117/,1/,no
0,109037835,54/75/,0.594311551326148/0.40568844867385206/,0/,no
1,101611310,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,106583372,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,135192440,10317/60/,9.428678019001372E-74/1.0/,1/,no
0,122476638,10317/79/,2.637325162924908E-56/1.0/,1/,no
1,125953744,148646/2884/,1.1420009288095663E-22/1.0/,1/,no
0,111507196,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,97898371,148646/2884/,1.1420009288095663E-22/1.0/,1/,no
0,98881614,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,123793128,148646/2884/,1.1420009288095663E-22/1.0/,1/,no
0,121163939,2474/50/,2.281595977385861E-21/1.0/,1/,no
1,123711293,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,yes
0,145877604,112/1468/,0.9999938558253978/6.144174602214718E-6/,0/,no
1,127659663,50/50/,0.5/0.5/,0/1/,no
0,125374424,50/123/,0.8071150847204498/0.1928849152795503/,0/,no
1,110092503,914/50/,4.390768327629132E-8/0.9999999560923167/,1/,no
0,140651332,50/123/,0.8071150847204498/0.1928849152795503/,0/,no
1,128426366,691/50/,3.4794687619070422E-6/0.999996520531238/,1/,no
0,126832132,123/123/,0.5/0.5/,0/1/,no
1,127453293,79/79/,0.5/0.5/,0/1/,no
0,104047865,50/123/,0.8071150847204498/0.1928849152795503/,0/,no
1,108502660,914/50/,4.390768327629132E-8/0.9999999560923167/,1/,no
0,133453603,78/123/,0.63867554593182/0.36132445406818003/,0/,no
1,118896868,95/95/,0.5/0.5/,0/1/,no
0,136554644,50/157/,0.8907124548274352/0.10928754517256477/,0/,no
1,129660997,914/50/,4.390768327629132E-8/0.9999999560923167/,1/,no
0,111944683,50/502/,0.9998584541201111/1.4154587988890748E-4/,0/,no
1,121789690,914/50/,4.390768327629132E-8/0.9999999560923167/,1/,no
0,115489282,50/123/,0.8071150847204498/0.1928849152795503/,0/,no
1,137115370,75/50/,0.3798473776772155/0.6201526223227845/,1/,no
0,138746575,50/75/,0.6201526223227845/0.3798473776772155/,0/,no
1,145676474,95/95/,0.5/0.5/,0/1/,no
0,136885594,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,102023253,50/50/,0.5/0.5/,0/1/,no
0,117898122,2884/246/,2.2996122580421824E-5/0.9999770038774196/,1/,no
1,118461714,50/50/,0.5/0.5/,0/1/,no
0,126243569,60/50/,0.4511368443987638/0.5488631556012363/,0/1/,no
1,125125948,75/50/,0.3798473776772155/0.6201526223227845/,1/,no
0,122159002,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,103892459,50/50/,0.5/0.5/,0/1/,no
0,103572428,348/348/,0.5/0.5/,0/1/,no
1,121016683,1625/122/,4.933227452806555E-6/0.9999950667725471/,1/,no
