Real_Goal,Time,Cost,Prob,Results,rl
0,102710690,3989/157/,2.930788401790793E-11/0.9999999999706921/,1/,no
1,126586295,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,121200651,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,155198744,75/50/,0.3798473776772155/0.6201526223227845/,1/,no
0,120125108,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,112889192,139/50/,0.14866654584238834/0.8513334541576117/,1/,no
0,95449515,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,119614587,227/50/,0.030160770201267024/0.9698392297987329/,1/,no
0,107027815,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,128912144,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,138075330,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,95145728,139/50/,0.14866654584238834/0.8513334541576117/,1/,no
0,121355042,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,135915940,75/50/,0.3798473776772155/0.6201526223227845/,1/,no
0,102155342,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,118885635,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,111945692,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,104070289,60/50/,0.4511368443987638/0.5488631556012363/,0/1/,no
0,119013652,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,99823572,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,107663909,75/139/,0.6989084234110173/0.30109157658898267/,0/,no
1,109244760,75/50/,0.3798473776772155/0.6201526223227845/,1/,no
0,138958481,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,117329437,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,151351950,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,102153261,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,105324374,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,124761407,3989/60/,1.0645439997899882E-28/1.0/,1/,no
0,116836664,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,124705168,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,100419954,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,102916035,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,121937827,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,118642571,139/50/,0.14866654584238834/0.8513334541576117/,1/,no
0,112219896,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/,no
1,100437417,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,120627701,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,120225038,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,126990814,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,97980890,60/50/,0.4511368443987638/0.5488631556012363/,0/1/,no
0,97107021,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,106428558,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,139922939,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,124379867,3989/157/,2.930788401790793E-11/0.9999999999706921/,1/,no
0,117741552,64/95/,0.6170210414317086/0.3829789585682914/,0/,no
1,98493332,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,109495019,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,119170069,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,122891448,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,115200974,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,96242066,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,103337502,227/50/,0.030160770201267024/0.9698392297987329/,1/,no
0,122848771,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,118378045,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,117400470,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,97009478,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,103660131,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,132540656,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,123589471,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,123117544,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,127928378,3989/157/,2.930788401790793E-11/0.9999999999706921/,1/,no
1,101013736,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,110515878,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,123044438,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,119673054,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,111367747,40251/2111/,1.436153858054694E-8/0.9999999856384615/,1/,no
0,98404759,50/75/,0.6201526223227845/0.3798473776772155/,0/,no
1,100586787,60/50/,0.4511368443987638/0.5488631556012363/,0/1/,no
0,130172488,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,130421517,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,120241592,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,98961699,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,102909386,50/75/,0.6201526223227845/0.3798473776772155/,0/,no
1,117655425,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,132175198,82/2474/,0.9999999999996952/3.0475229115423913E-13/,0/,no
1,119923010,561/50/,4.451642389677214E-5/0.9999554835761032/,1/,no
0,96576743,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,97688343,227/50/,0.030160770201267024/0.9698392297987329/,1/,no
0,117969051,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,132431201,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,122176740,50/75/,0.6201526223227845/0.3798473776772155/,0/,no
1,123163179,60/50/,0.4511368443987638/0.5488631556012363/,0/1/,no
0,104135467,50/75/,0.6201526223227845/0.3798473776772155/,0/,no
1,103883481,60/50/,0.4511368443987638/0.5488631556012363/,0/1/,no
0,118591354,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,106600851,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/,no
0,122377379,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,121777349,75/50/,0.3798473776772155/0.6201526223227845/,1/,no
0,136943264,4403/2147483647/,1.0/0.0/,0/,no
1,97970164,227/50/,0.030160770201267024/0.9698392297987329/,1/,no
0,97862048,50/60/,0.5488631556012363/0.4511368443987638/,0/1/,no
1,126184018,227/50/,0.030160770201267024/0.9698392297987329/,1/,no
