Real_Goal,Time,Cost,Prob,Results
0,115726203,3989/157/,2.930788401790793E-11/0.9999999999706921/,1/
1,113931530,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,107509236,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/
1,106543948,75/50/,0.3798473776772155/0.6201526223227845/,1/
0,110812201,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/
1,107698485,139/50/,0.14866654584238834/0.8513334541576117/,1/
0,131682097,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/
1,107549169,227/50/,0.030160770201267024/0.9698392297987329/,1/
0,106111845,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/
1,107515206,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,104956158,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,108975066,139/50/,0.14866654584238834/0.8513334541576117/,1/
0,105244493,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,109945693,75/50/,0.3798473776772155/0.6201526223227845/,1/
0,107177880,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,105766856,561/50/,4.451642389677214E-5/0.9999554835761032/,1/
0,103062046,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,108161119,60/50/,0.4511368443987638/0.5488631556012363/,0/1/
0,106039381,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,108469294,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,105360952,75/139/,0.6989084234110173/0.30109157658898267/,0/
1,109287936,75/50/,0.3798473776772155/0.6201526223227845/,1/
0,108089001,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/
1,110246581,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,110614311,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/
1,106409342,561/50/,4.451642389677214E-5/0.9999554835761032/,1/
0,105274803,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,115335909,3989/60/,1.0645439997899882E-28/1.0/,1/
0,108543887,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,124831012,561/50/,4.451642389677214E-5/0.9999554835761032/,1/
0,107081263,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,112704845,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,108534242,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/
1,106202606,139/50/,0.14866654584238834/0.8513334541576117/,1/
0,106298180,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/
1,111721560,561/50/,4.451642389677214E-5/0.9999554835761032/,1/
0,107059383,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,109681306,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,108992570,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,106965165,60/50/,0.4511368443987638/0.5488631556012363/,0/1/
0,107194659,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,113567307,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,107005561,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,120645190,3989/157/,2.930788401790793E-11/0.9999999999706921/,1/
0,106732082,64/95/,0.6170210414317086/0.3829789585682914/,0/
1,108126877,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,107248731,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,108802757,561/50/,4.451642389677214E-5/0.9999554835761032/,1/
0,103776869,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,109714472,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,110191850,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,113580123,227/50/,0.030160770201267024/0.9698392297987329/,1/
0,112975594,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,110666855,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,104896176,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,108262327,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,107049689,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,109539141,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,109720851,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,112987482,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,111945244,3989/157/,2.930788401790793E-11/0.9999999999706921/,1/
1,107281684,561/50/,4.451642389677214E-5/0.9999554835761032/,1/
0,107283035,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,105832692,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,104355892,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,106123001,40251/2111/,1.436153858054694E-8/0.9999999856384615/,1/
0,106335762,50/75/,0.6201526223227845/0.3798473776772155/,0/
1,105109786,60/50/,0.4511368443987638/0.5488631556012363/,0/1/
0,107667195,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,110750661,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,108860708,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,133816432,561/50/,4.451642389677214E-5/0.9999554835761032/,1/
0,114038901,50/75/,0.6201526223227845/0.3798473776772155/,0/
1,108015189,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,173440177,82/2474/,0.9999999999996952/3.0475229115423913E-13/,0/
1,108486373,561/50/,4.451642389677214E-5/0.9999554835761032/,1/
0,109384285,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,107246435,227/50/,0.030160770201267024/0.9698392297987329/,1/
0,105096207,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,110939876,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,110685612,50/75/,0.6201526223227845/0.3798473776772155/,0/
1,107777714,60/50/,0.4511368443987638/0.5488631556012363/,0/1/
0,109006483,50/75/,0.6201526223227845/0.3798473776772155/,0/
1,107104965,60/50/,0.4511368443987638/0.5488631556012363/,0/1/
0,107574440,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,107916832,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,105389468,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,111398488,75/50/,0.3798473776772155/0.6201526223227845/,1/
0,132358554,4403/2147483647/,1.0/0.0/,0/
1,126757579,227/50/,0.030160770201267024/0.9698392297987329/,1/
0,105416654,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,109055258,227/50/,0.030160770201267024/0.9698392297987329/,1/
0,107314629,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,110666906,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,110229241,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,104147705,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,107915250,60/227/,0.9392152024446201/0.06078479755537992/,0/
1,114489381,139/50/,0.14866654584238834/0.8513334541576117/,1/
0,112004727,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,109641633,561/50/,4.451642389677214E-5/0.9999554835761032/,1/
0,108168202,40251/2111/,1.436153858054694E-8/0.9999999856384615/,1/
1,171572608,207616/30484/,0.002987089662501392/0.9970129103374986/,1/
0,108403595,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,109104882,40251/2111/,1.436153858054694E-8/0.9999999856384615/,1/
0,110043443,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,110061328,58441/2884/,4.332191171589273E-9/0.9999999956678088/,1/
0,114136416,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,106607930,139/50/,0.14866654584238834/0.8513334541576117/,1/
0,112157916,50/75/,0.6201526223227845/0.3798473776772155/,0/
1,107402692,561/50/,4.451642389677214E-5/0.9999554835761032/,1/
0,107106824,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/
1,110244767,3989/60/,1.0645439997899882E-28/1.0/,1/
0,105589910,10317/502/,3.3546363308653243E-9/0.9999999966453637/,1/
1,134605052,58441/2884/,4.332191171589273E-9/0.9999999956678088/,1/
0,108358359,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/
1,107923414,58441/2884/,4.332191171589273E-9/0.9999999956678088/,1/
0,105472746,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,110662522,58441/2884/,4.332191171589273E-9/0.9999999956678088/,1/
0,106087853,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
1,108654733,227/50/,0.030160770201267024/0.9698392297987329/,1/
0,106081893,112/1468/,0.9999938558253978/6.144174602214718E-6/,0/
1,108060792,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,108615821,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/
1,109562011,58441/2884/,4.332191171589273E-9/0.9999999956678088/,1/
0,126007616,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/
1,111491722,40251/2111/,1.436153858054694E-8/0.9999999856384615/,1/
0,106848865,952/123/,0.0012473524647970756/0.998752647535203/,1/
1,109727884,3989/79/,5.940967779046527E-22/1.0/,1/
0,108168576,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/
1,111275534,58441/2884/,4.332191171589273E-9/0.9999999956678088/,1/
0,105598238,78/123/,0.63867554593182/0.36132445406818003/,0/
1,106757840,561/95/,0.0077355223743218165/0.9922644776256782/,1/
0,107145889,3989/157/,2.930788401790793E-11/0.9999999999706921/,1/
1,107300114,58441/2884/,4.332191171589273E-9/0.9999999956678088/,1/
0,108872197,10317/502/,3.3546363308653243E-9/0.9999999966453637/,1/
1,107474122,58441/2884/,4.332191171589273E-9/0.9999999956678088/,1/
0,111439266,2474/123/,5.833332280398582E-9/0.9999999941666676/,1/
1,107726809,75/50/,0.3798473776772155/0.6201526223227845/,1/
0,105636075,50/75/,0.6201526223227845/0.3798473776772155/,0/
1,107812961,561/95/,0.0077355223743218165/0.9922644776256782/,1/
0,104009313,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,109252546,561/50/,4.451642389677214E-5/0.9999554835761032/,1/
0,110748029,148646/8282/,4.3694915604777214E-8/0.9999999563050844/,1/
1,109255777,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,121716595,60/50/,0.4511368443987638/0.5488631556012363/,0/1/
1,108246425,75/50/,0.3798473776772155/0.6201526223227845/,1/
0,104858859,50/60/,0.5488631556012363/0.4511368443987638/,0/1/
1,110300279,952/50/,2.0842440286269194E-8/0.9999999791575597/,1/
0,109047534,2474/348/,0.0022564791623046645/0.9977435208376954/,1/
1,108404004,207616/30484/,0.002987089662501392/0.9970129103374986/,1/
0,104072334,2474/348/,0.0022564791623046645/0.9977435208376954/,1/
1,111587456,58441/2884/,4.332191171589273E-9/0.9999999956678088/,1/
0,110075240,2474/348/,0.0022564791623046645/0.9977435208376954/,1/
