Real_Goal,Time,Cost,Prob,Results,rl
0,142364445,79/584/,0.9981897889737974/0.0018102110262026474/,0/,no
1,142473997,80/80/,0.5/0.5/,0/1/,no
0,149105782,50/410/,0.9991409495864225/8.590504135774343E-4/,0/,no
1,146747072,109/2941/,0.9999999999934099/6.5900871332462946E-12/,0/,no
0,142835426,82/4996/,1.0/1.9394281095733775E-26/,0/,no
1,138991783,54/83/,0.6288467945907081/0.37115320540929186/,0/,no
0,147779502,93/2202/,0.9999999998196587/1.803412524495064E-10/,0/,no
1,144506402,50/109/,0.7607621919902593/0.23923780800974062/,0/,no
0,136913736,109/38335/,1.0/1.1987245697408731E-151/,0/,no
1,167185927,54/54/,0.5/0.5/,0/1/,no
0,163031896,50/7304/,1.0/1.6904278253355395E-62/,0/,no
1,138326349,292/68/,0.03745729998859933/0.9625427000114006/,1/,no
0,189975387,103/60986/,1.0/5.730124023143533E-255/,0/,no
1,139513960,50/246/,0.9790231790549648/0.020976820945035182/,0/,no
0,144519897,434/6669/,0.9999994041839921/5.958160078820966E-7/,0/,no
1,137285605,246/93/,0.1641512283614262/0.8358487716385737/,1/,no
0,150304436,50/3010/,1.0/6.221411010397912E-26/,0/,no
1,139822639,50/50/,0.5/0.5/,0/1/,no
0,112158308,79/14383/,1.0/2.2291876877662647E-78/,0/,no
1,108559827,914/109/,6.629274732852914E-4/0.9993370725267147/,1/,no
0,128777809,93/3909/,1.0/2.3414888624482913E-18/,0/,no
1,107501471,69/128/,0.699066621878819/0.300933378121181/,0/,no
0,121536597,248/1465/,0.992516553185758/0.0074834468142420075/,0/,no
1,106856137,79/68/,0.46022912271577787/0.539770877284222/,0/1/,no
0,137074312,50/28594/,1.0/8.537670374738233E-244/,0/,no
1,127880853,914/109/,6.629274732852914E-4/0.9993370725267147/,1/,no
0,155874290,387/12652/,0.9999999999999813/1.86893090654352E-14/,0/,no
1,110057912,50/50/,0.5/0.5/,0/1/,no
0,127473055,50/1254/,0.9999999999441216/5.587840432629997E-11/,0/,no
1,106625460,50/123/,0.8071150847204498/0.1928849152795503/,0/,no
0,110899528,93/198/,0.7534357759182149/0.24656422408178513/,0/,no
1,121152091,50/835/,0.9999997933330071/2.0666699282066704E-7/,0/,no
0,116581560,79/483/,0.9936314844931845/0.0063685155068155435/,0/,no
1,112768296,198/50/,0.0520567195841066/0.9479432804158934/,1/,no
0,115419091,109/1619/,0.9999989077533319/1.092246668200084E-6/,0/,no
1,113271088,50/109/,0.7607621919902593/0.23923780800974062/,0/,no
0,120483067,792/2718/,0.918993643322837/0.08100635667716312/,0/,no
1,130591073,50/50/,0.5/0.5/,0/1/,no
0,111557145,109/11257/,1.0/9.687870501628431E-45/,0/,no
1,108622434,50/50/,0.5/0.5/,0/1/,no
0,113955560,79/14313/,1.0/5.347543269798133E-78/,0/,no
1,138943272,50/50/,0.5/0.5/,0/1/,no
0,119818653,50/22128/,1.0/9.841634367802605E-189/,0/,no
1,112422457,50/157/,0.8907124548274352/0.10928754517256477/,0/,no
0,109704804,50/409/,0.9991239541393758/8.76045860624131E-4/,0/,no
1,122033033,50/827/,0.9999997582337192/2.417662807667061E-7/,0/,no
0,110256843,50/1089/,0.999999998579915/1.420085123464855E-9/,0/,no
1,115853157,82/321/,0.946824604839467/0.053175395160533045/,0/,no
0,112178450,68/13922/,1.0/6.327337223275562E-88/,0/,no
1,121988116,82/82/,0.5/0.5/,0/1/,no
0,118919041,68/10621/,1.0/3.785478296021325E-67/,0/,no
1,116779482,50/109/,0.7607621919902593/0.23923780800974062/,0/,no
0,109926801,122/198/,0.6497376404314578/0.3502623595685422/,0/,no
1,116648957,79/68/,0.46022912271577787/0.539770877284222/,0/1/,no
0,112645899,50/14462/,1.0/1.8771058405300653E-123/,0/,no
1,109932494,157/157/,0.5/0.5/,0/1/,no
0,125036841,50/20989/,1.0/4.923916226886464E-179/,0/,no
1,115478411,128/248/,0.7171224641158099/0.2828775358841901/,0/,no
0,116326015,50/1102/,0.9999999988994447/1.1005552833215097E-9/,0/,no
1,111395981,50/50/,0.5/0.5/,0/1/,no
0,111859389,50/5645/,1.0/2.2664213977247298E-48/,0/,no
1,104632299,50/123/,0.8071150847204498/0.1928849152795503/,0/,no
0,116870948,787/1354/,0.6725064070363679/0.3274935929636322/,0/,no
1,109639130,246/93/,0.1641512283614262/0.8358487716385737/,1/,no
0,119537528,50/5712/,1.0/6.09251953900636E-49/,0/,no
1,259585786,50/246/,0.9790231790549648/0.020976820945035182/,0/,no
0,138397469,93/166476/,1.0/0.0/,0/,no
1,143223589,50/409/,0.9991239541393758/8.76045860624131E-4/,0/,no
0,140954954,1548/2009/,0.5738584908686902/0.4261415091313099/,0/,no
1,229310915,98/98/,0.5/0.5/,0/1/,no
0,113779443,50/360971/,1.0/0.0/,0/,no
1,127041500,50/246/,0.9790231790549648/0.020976820945035182/,0/,no
0,121864854,109/11264/,1.0/9.0905760283871E-45/,0/,no
1,154622799,198/50/,0.0520567195841066/0.9479432804158934/,1/,no
0,253240481,50/16431/,1.0/3.208599624141404E-140/,0/,no
1,160255926,79/68/,0.46022912271577787/0.539770877284222/,0/1/,no
0,170672788,109/8655/,1.0/1.8166316977711562E-34/,0/,no
1,121626878,93/354/,0.9413979208840698/0.05860207911593014/,0/,no
0,129413688,50/53664/,1.0/0.0/,0/,no
1,136446885,64/64/,0.5/0.5/,0/1/,no
0,152783925,294/74631/,1.0/3.649279390600904E-110/,0/,no
1,125842378,50/109/,0.7607621919902593/0.23923780800974062/,0/,no
0,158499333,50/41292/,1.0/0.0/,0/,no
1,118354440,50/235/,0.9741045403954971/0.025895459604502954/,0/,no
0,119725297,50/34517/,1.0/3.1158061923115003E-294/,0/,no
1,128807855,1131/323/,0.0762920535847134/0.9237079464152866/,1/,no
0,142661083,50/513/,0.9998859125691789/1.1408743082112265E-4/,0/,no
1,129870339,55/468/,0.9993736658418906/6.263341581094209E-4/,0/,no
