Real_Goal,Time,Cost,Prob,Results,rl
0,122302828,79/584/,0.9981897889737974/0.0018102110262026474/,0/,no
1,132778555,80/80/,0.5/0.5/,0/1/,no
0,111084686,50/410/,0.9991409495864225/8.590504135774343E-4/,0/,no
1,117556996,109/2941/,0.9999999999934099/6.5900871332462946E-12/,0/,no
0,117684433,82/4996/,1.0/1.9394281095733775E-26/,0/,no
1,113798009,54/83/,0.6288467945907081/0.37115320540929186/,0/,no
0,131522570,93/2202/,0.9999999998196587/1.803412524495064E-10/,0/,no
1,122046133,50/109/,0.7607621919902593/0.23923780800974062/,0/,no
0,139313722,109/38335/,1.0/1.1987245697408731E-151/,0/,no
1,138093037,54/54/,0.5/0.5/,0/1/,no
0,130357952,50/7304/,1.0/1.6904278253355395E-62/,0/,no
1,133386602,292/68/,0.03745729998859933/0.9625427000114006/,1/,no
0,116988723,103/60986/,1.0/5.730124023143533E-255/,0/,no
1,125663337,50/246/,0.9790231790549648/0.020976820945035182/,0/,no
0,118813909,434/6669/,0.9999994041839921/5.958160078820966E-7/,0/,no
1,152706959,246/93/,0.1641512283614262/0.8358487716385737/,1/,no
0,115495710,50/3010/,1.0/6.221411010397912E-26/,0/,no
1,117453802,50/50/,0.5/0.5/,0/1/,no
0,120745225,79/14383/,1.0/2.2291876877662647E-78/,0/,no
1,108183813,914/109/,6.629274732852914E-4/0.9993370725267147/,1/,no
0,111483923,93/3909/,1.0/2.3414888624482913E-18/,0/,no
1,118177882,69/128/,0.699066621878819/0.300933378121181/,0/,no
0,115563779,248/1465/,0.992516553185758/0.0074834468142420075/,0/,no
1,111041739,79/68/,0.46022912271577787/0.539770877284222/,0/1/,no
0,166374785,50/28594/,1.0/8.537670374738233E-244/,0/,no
1,127242700,914/109/,6.629274732852914E-4/0.9993370725267147/,1/,no
0,130460096,387/12652/,0.9999999999999813/1.86893090654352E-14/,0/,no
1,111989402,50/50/,0.5/0.5/,0/1/,no
0,124193644,50/1254/,0.9999999999441216/5.587840432629997E-11/,0/,no
1,125758667,50/123/,0.8071150847204498/0.1928849152795503/,0/,no
0,108797215,93/198/,0.7534357759182149/0.24656422408178513/,0/,no
1,119762753,50/835/,0.9999997933330071/2.0666699282066704E-7/,0/,no
0,114507692,79/483/,0.9936314844931845/0.0063685155068155435/,0/,no
1,111992150,198/50/,0.0520567195841066/0.9479432804158934/,1/,no
0,120296060,109/1619/,0.9999989077533319/1.092246668200084E-6/,0/,no
