Real_Goal,Time,Cost,Prob,Results
0,108340535,79/584/,0.9981897889737974/0.0018102110262026474/,0/
1,109592676,80/80/,0.5/0.5/,0/1/
0,110479237,50/410/,0.9991409495864225/8.590504135774343E-4/,0/
1,117868319,109/2941/,0.9999999999934099/6.5900871332462946E-12/,0/
0,111993103,82/4996/,1.0/1.9394281095733775E-26/,0/
1,107352252,54/83/,0.6288467945907081/0.37115320540929186/,0/
0,114878250,93/2202/,0.9999999998196587/1.803412524495064E-10/,0/
1,109804667,50/109/,0.7607621919902593/0.23923780800974062/,0/
0,118599876,109/38335/,1.0/1.1987245697408731E-151/,0/
1,108489486,54/54/,0.5/0.5/,0/1/
0,113892618,50/7304/,1.0/1.6904278253355395E-62/,0/
1,113236372,292/68/,0.03745729998859933/0.9625427000114006/,1/
0,121919652,103/60986/,1.0/5.730124023143533E-255/,0/
1,108135811,50/246/,0.9790231790549648/0.020976820945035182/,0/
0,110133781,434/6669/,0.9999994041839921/5.958160078820966E-7/,0/
1,107866598,246/93/,0.1641512283614262/0.8358487716385737/,1/
0,110427544,50/3010/,1.0/6.221411010397912E-26/,0/
1,108914793,50/50/,0.5/0.5/,0/1/
0,120605292,79/14383/,1.0/2.2291876877662647E-78/,0/
1,111611891,914/109/,6.629274732852914E-4/0.9993370725267147/,1/
0,114007414,93/3909/,1.0/2.3414888624482913E-18/,0/
1,109822478,69/128/,0.699066621878819/0.300933378121181/,0/
0,114792554,248/1465/,0.992516553185758/0.0074834468142420075/,0/
1,110158091,79/68/,0.46022912271577787/0.539770877284222/,0/1/
0,120476496,50/28594/,1.0/8.537670374738233E-244/,0/
1,107855332,914/109/,6.629274732852914E-4/0.9993370725267147/,1/
0,116930781,387/12652/,0.9999999999999813/1.86893090654352E-14/,0/
1,105424426,50/50/,0.5/0.5/,0/1/
0,115903440,50/1254/,0.9999999999441216/5.587840432629997E-11/,0/
1,110060227,50/123/,0.8071150847204498/0.1928849152795503/,0/
0,101881560,93/198/,0.7534357759182149/0.24656422408178513/,0/
1,114473873,50/835/,0.9999997933330071/2.0666699282066704E-7/,0/
0,113023598,79/483/,0.9936314844931845/0.0063685155068155435/,0/
1,106277892,198/50/,0.0520567195841066/0.9479432804158934/,1/
0,114765533,109/1619/,0.9999989077533319/1.092246668200084E-6/,0/
1,107921698,50/109/,0.7607621919902593/0.23923780800974062/,0/
0,118505310,792/2718/,0.918993643322837/0.08100635667716312/,0/
1,109829245,50/50/,0.5/0.5/,0/1/
0,114856385,109/11257/,1.0/9.687870501628431E-45/,0/
1,103988504,50/50/,0.5/0.5/,0/1/
0,114143292,79/14313/,1.0/5.347543269798133E-78/,0/
1,108322827,50/50/,0.5/0.5/,0/1/
0,110175466,50/22128/,1.0/9.841634367802605E-189/,0/
1,103174261,50/157/,0.8907124548274352/0.10928754517256477/,0/
0,105490374,50/409/,0.9991239541393758/8.76045860624131E-4/,0/
1,116958580,50/827/,0.9999997582337192/2.417662807667061E-7/,0/
0,110478431,50/1089/,0.999999998579915/1.420085123464855E-9/,0/
1,115268615,82/321/,0.946824604839467/0.053175395160533045/,0/
0,117499863,68/13922/,1.0/6.327337223275562E-88/,0/
1,112751475,82/82/,0.5/0.5/,0/1/
0,112719182,68/10621/,1.0/3.785478296021325E-67/,0/
1,107589739,50/109/,0.7607621919902593/0.23923780800974062/,0/
0,219102270,122/198/,0.6497376404314578/0.3502623595685422/,0/
1,107316218,79/68/,0.46022912271577787/0.539770877284222/,0/1/
0,149420191,50/14462/,1.0/1.8771058405300653E-123/,0/
1,105970656,157/157/,0.5/0.5/,0/1/
0,171050564,50/20989/,1.0/4.923916226886464E-179/,0/
1,118584972,128/248/,0.7171224641158099/0.2828775358841901/,0/
0,112731763,50/1102/,0.9999999988994447/1.1005552833215097E-9/,0/
1,106995570,50/50/,0.5/0.5/,0/1/
0,123693464,50/5645/,1.0/2.2664213977247298E-48/,0/
1,110399288,50/123/,0.8071150847204498/0.1928849152795503/,0/
0,114587459,787/1354/,0.6725064070363679/0.3274935929636322/,0/
1,107457257,246/93/,0.1641512283614262/0.8358487716385737/,1/
