Real_Goal,Time,Cost,Prob,Results,rl
0,123855679,79/584/,0.9981897889737974/0.0018102110262026474/,0/,no
1,129044788,80/80/,0.5/0.5/,0/1/,no
0,127830277,50/410/,0.9991409495864225/8.590504135774343E-4/,0/,no
1,136075779,109/2941/,0.9999999999934099/6.5900871332462946E-12/,0/,no
0,133920006,82/4996/,1.0/1.9394281095733775E-26/,0/,no
1,147861613,54/83/,0.6288467945907081/0.37115320540929186/,0/,no
0,147760489,93/2202/,0.9999999998196587/1.803412524495064E-10/,0/,no
1,111225236,50/109/,0.7607621919902593/0.23923780800974062/,0/,no
0,123361104,109/38335/,1.0/1.1987245697408731E-151/,0/,no
1,112913645,54/54/,0.5/0.5/,0/1/,no
0,142165121,50/7304/,1.0/1.6904278253355395E-62/,0/,no
1,117637039,292/68/,0.03745729998859933/0.9625427000114006/,1/,no
0,123510971,103/60986/,1.0/5.730124023143533E-255/,0/,no
1,109249106,50/246/,0.9790231790549648/0.020976820945035182/,0/,no
0,114172943,434/6669/,0.9999994041839921/5.958160078820966E-7/,0/,no
1,112684886,246/93/,0.1641512283614262/0.8358487716385737/,1/,no
0,113206085,50/3010/,1.0/6.221411010397912E-26/,0/,no
1,107089133,50/50/,0.5/0.5/,0/1/,no
0,117784183,79/14383/,1.0/2.2291876877662647E-78/,0/,yes
1,136669764,1098/109/,1.2452131897380155E-4/0.9998754786810262/,1/,yes
0,120663892,795/1047/,0.5784912572657802/0.42150874273421984/,0/,no
1,150513074,110/51/,0.24331035409118082/0.7566896459088192/,1/,no
0,116772138,93/2683/,0.9999999999989191/1.0809384797799375E-12/,0/,no
1,108625063,79/68/,0.46022912271577787/0.539770877284222/,0/1/,no
0,124693305,109/25139/,1.0/1.507525644808319E-99/,0/,no
1,109121144,1098/50/,1.1903486267970177E-9/0.9999999988096514/,1/,no
0,125993851,771/13047/,0.9999998758225851/1.2417741493299915E-7/,0/,no
1,104915402,79/68/,0.46022912271577787/0.539770877284222/,0/1/,no
0,118402447,138/1401/,0.9998868101580335/1.1318984196646514E-4/,0/,no
1,106583818,50/50/,0.5/0.5/,0/1/,no
0,110818896,50/691/,0.999996520531238/3.4794687619070422E-6/,0/,no
1,130025469,109/175/,0.6456563062257954/0.35434369377420455/,0/,no
0,116409171,109/304/,0.8547965062803291/0.14520349371967095/,0/,no
1,110486847,198/50/,0.0520567195841066/0.9479432804158934/,1/,no
0,112741389,138/1009/,0.9981041437698416/0.0018958562301583728/,0/,no
1,113932587,109/68/,0.3556710963466992/0.6443289036533009/,1/,no
0,122723594,3325/2718/,0.44441968203114207/0.555580317968858/,1/,no
1,107563299,1098/111/,1.4883848257288125E-4/0.9998511615174271/,1/,no
0,118500242,138/1232/,0.9996183037284447/3.816962715553069E-4/,0/,yes
1,102804678,50/68/,0.5873306243819909/0.41266937561800915/,0/,yes
0,112997114,297/5608/,0.9999999818055215/1.8194478478386885E-8/,0/,no
1,105081692,691/50/,3.4794687619070422E-6/0.999996520531238/,1/,no
0,113733306,50/965/,0.9999999838472656/1.615273443513306E-8/,0/,no
1,108491292,50/50/,0.5/0.5/,0/1/,no
0,109886040,50/558/,0.9999527865396113/4.721346038874904E-5/,0/,no
1,134505271,50/1299/,0.999999999976877/2.3122936280088117E-11/,0/,no
0,114955672,50/1149/,0.9999999995620952/4.379047879547794E-10/,0/,no
1,139895656,54/845/,0.9999994323828909/5.676171089848009E-7/,0/,no
0,114089696,365/3672/,0.9998809108543172/1.1908914568283835E-4/,0/,no
1,111903591,54/82/,0.6245933381697255/0.37540666183027444/,0/,no
0,121667496,365/1537/,0.9609164496319026/0.039083550368097374/,0/,no
1,108490239,50/50/,0.5/0.5/,0/1/,no
0,109776248,79/2268/,0.9999999999986919/1.3080285969756443E-12/,0/,no
1,123213124,79/109/,0.5926665999540698/0.40733340004593027/,0/,no
0,116109985,364/2109/,0.9916806905455114/0.008319309454488473/,0/,no
1,102635979,157/157/,0.5/0.5/,0/1/,no
0,123835917,109/35279/,1.0/1.393829784259504E-139/,0/,no
1,118487002,50/1091/,0.9999999986345266/1.3654733289962618E-9/,0/,no
0,130182301,109/1845/,0.9999998600272844/1.3997271561551918E-7/,0/,yes
1,107937036,50/97/,0.7153616165131179/0.28463838348688203/,0/,yes
0,117375401,50/787/,0.9999994703137155/5.296862844185073E-7/,0/,no
1,106843886,50/54/,0.5195977978782956/0.48040220212170437/,0/1/,no
0,110458920,860/860/,0.5/0.5/,0/1/,no
1,108121222,246/246/,0.5/0.5/,0/1/,no
0,118930320,50/4673/,1.0/4.2902495277813994E-40/,0/,no
1,113590854,50/50/,0.5/0.5/,0/1/,no
0,109267840,50/5151/,1.0/3.6478437828107847E-44/,0/,no
1,111087302,128/50/,0.17807976793235317/0.8219202320676469/,1/,no
0,116618758,1548/1506/,0.49303296588526135/0.5069670341147388/,0/1/,no
1,104860209,55/98/,0.6830571685176997/0.3169428314823002/,0/,no
0,122289234,50/507/,0.9998716709193957/1.2832908060443038E-4/,0/,no
1,112265916,79/79/,0.5/0.5/,0/1/,no
0,114020108,109/841/,0.9987135036702244/0.00128649632977564/,0/,no
1,106018869,198/111/,0.31501305132946783/0.6849869486705321/,1/,no
0,109238245,50/894/,0.9999999350091713/6.499082877116443E-8/,0/,no
1,105182592,50/50/,0.5/0.5/,0/1/,no
0,112333155,109/7160/,1.0/1.4511881052219787E-28/,0/,no
